vehicle_type,capacity,avail_cities,perday_rental,perkm_charge,max_km_perday
Alto A/C,4,2\14\5,1200\1000\1300,10\9\11,80\80\75
Alto Non A/C,4,2\14\5,1000\900\1100,8.5\8\9,100\100\100
Indica A/C,4,1\6\13\12 ,1200\1000\1000\1100,9\8\8\9,90\85\80\95
Indica Non A/C,4,1\6\13\12 ,900\850\880\1000,8\7\7.5\8,120\100\100\110
Indigo A/C,4,37\2\5\55,1400\1400\1600\1200,10.5\10.5\10.5\9.5,60\55\40\65
Indigo Non A/C,4,37\2\5\55,1100\1200\1300\1000,9\9\10\8,70\65\60\70
Maruti - Swift A/C,4,1\14\4\5,1500\1200\1400\1500,11\9\9\10.5,80\100\100\90
Maruti - Swift Non A/C,4,1\14\4\5,1300\1100\1200\1400,9.5\8.5\8\9,100\120\130\90
Mahindra Scorpio,7,3\4\17\30,1800\130\2100\2200,16\16\17\17.5,50\45\35\35
Mahindra XYLO,7,5\18\25\19\15,1800\130\130\2000\1700,16\17\16.5\18.5\15.5,50\45\50\50\50
Mahindra Bolero,7,17\9\30\1\5,1800\1700\130\1700\130,16\15\16.5\16\16,40\50\40\60\60
TOYOTA INNOVA,7,5\14\30,2000\1700\2100,17\15\18,40\60\30
